"﻿""trends__name""",trends__url,trends__promoted_content,trends__query,trends__tweet_volume,as_of,created_at,locations__name,locations__woeid
#まんぷくダービー,http://twitter.com/search?q=%23%E3%81%BE%E3%82%93%E3%81%B7%E3%81%8F%E3%83%80%E3%83%BC%E3%83%93%E3%83%BC,null,%23%E3%81%BE%E3%82%93%E3%81%B7%E3%81%8F%E3%83%80%E3%83%BC%E3%83%93%E3%83%BC,55244,,,,
#MSI2021,http://twitter.com/search?q=%23MSI2021,null,%23MSI2021,14797,,,,
#ごめんねFingerscrossed,http://twitter.com/search?q=%23%E3%81%94%E3%82%81%E3%82%93%E3%81%ADFingerscrossed,null,%23%E3%81%94%E3%82%81%E3%82%93%E3%81%ADFingerscrossed,null,,,,
#talkwithppnaravit,http://twitter.com/search?q=%23talkwithppnaravit,null,%23talkwithppnaravit,19098,,,,
#ゴジラSP,http://twitter.com/search?q=%23%E3%82%B4%E3%82%B8%E3%83%A9SP,null,%23%E3%82%B4%E3%82%B8%E3%83%A9SP,17083,,,,
#素のまんま,http://twitter.com/search?q=%23%E7%B4%A0%E3%81%AE%E3%81%BE%E3%82%93%E3%81%BE,null,%23%E7%B4%A0%E3%81%AE%E3%81%BE%E3%82%93%E3%81%BE,50856,,,,
#650MilyonTLnerede,http://twitter.com/search?q=%23650MilyonTLnerede,null,%23650MilyonTLnerede,14214,,,,
#GreysAnatomy,http://twitter.com/search?q=%23GreysAnatomy,null,%23GreysAnatomy,80277,2021-05-07T03:39:36Z,2021-05-05T19:55:04Z,Worldwide,1
#Japril,http://twitter.com/search?q=%23Japril,null,%23Japril,61093,,,,
投げ銭機能,http://twitter.com/search?q=%E6%8A%95%E3%81%92%E9%8A%AD%E6%A9%9F%E8%83%BD,null,%E6%8A%95%E3%81%92%E9%8A%AD%E6%A9%9F%E8%83%BD,33903,,,,
#MestreDoSabor,http://twitter.com/search?q=%23MestreDoSabor,null,%23MestreDoSabor,null,,,,
#AmaSofreChora,http://twitter.com/search?q=%23AmaSofreChora,null,%23AmaSofreChora,69281,,,,
#なんと15種のお菓子が当たる,http://twitter.com/search?q=%23%E3%81%AA%E3%82%93%E3%81%A815%E7%A8%AE%E3%81%AE%E3%81%8A%E8%8F%93%E5%AD%90%E3%81%8C%E5%BD%93%E3%81%9F%E3%82%8B,null,%23%E3%81%AA%E3%82%93%E3%81%A815%E7%A8%AE%E3%81%AE%E3%81%8A%E8%8F%93%E5%AD%90%E3%81%8C%E5%BD%93%E3%81%9F%E3%82%8B,null,,,,
gabi rippi,http://twitter.com/search?q=%22gabi+rippi%22,null,%22gabi+rippi%22,null,,,,
Clippers,http://twitter.com/search?q=Clippers,null,Clippers,14281,,,,
Otero,http://twitter.com/search?q=Otero,null,Otero,16960,,,,
São Bento,http://twitter.com/search?q=%22S%C3%A3o+Bento%22,null,%22S%C3%A3o+Bento%22,null,,,,
karina,http://twitter.com/search?q=karina,null,karina,103518,,,,
luisa,http://twitter.com/search?q=luisa,null,luisa,35573,,,,
Esteves,http://twitter.com/search?q=Esteves,null,Esteves,12878,,,,
NCT Hollywood,http://twitter.com/search?q=%22NCT+Hollywood%22,null,%22NCT+Hollywood%22,310985,,,,
Peñarol,http://twitter.com/search?q=Pe%C3%B1arol,null,Pe%C3%B1arol,17199,,,,
OUÇA NEM ON NEM OFF,http://twitter.com/search?q=%22OU%C3%87A+NEM+ON+NEM+OFF%22,null,%22OU%C3%87A+NEM+ON+NEM+OFF%22,27876,,,,
Floyd,http://twitter.com/search?q=Floyd,null,Floyd,133906,,,,
Jake Paul,http://twitter.com/search?q=%22Jake+Paul%22,null,%22Jake+Paul%22,86270,,,,
グーニーズ,http://twitter.com/search?q=%E3%82%B0%E3%83%BC%E3%83%8B%E3%83%BC%E3%82%BA,null,%E3%82%B0%E3%83%BC%E3%83%8B%E3%83%BC%E3%82%BA,27222,,,,
Girón,http://twitter.com/search?q=Gir%C3%B3n,null,Gir%C3%B3n,null,,,,
Kyrie,http://twitter.com/search?q=Kyrie,null,Kyrie,16592,,,,
Carrascal,http://twitter.com/search?q=Carrascal,null,Carrascal,null,,,,
アーモンドキャラメルコーン,http://twitter.com/search?q=%E3%82%A2%E3%83%BC%E3%83%A2%E3%83%B3%E3%83%89%E3%82%AD%E3%83%A3%E3%83%A9%E3%83%A1%E3%83%AB%E3%82%B3%E3%83%BC%E3%83%B3,null,%E3%82%A2%E3%83%BC%E3%83%A2%E3%83%B3%E3%83%89%E3%82%AD%E3%83%A3%E3%83%A9%E3%83%A1%E3%83%AB%E3%82%B3%E3%83%BC%E3%83%B3,null,,,,
宮田くん,http://twitter.com/search?q=%E5%AE%AE%E7%94%B0%E3%81%8F%E3%82%93,null,%E5%AE%AE%E7%94%B0%E3%81%8F%E3%82%93,26715,,,,
Werdum,http://twitter.com/search?q=Werdum,null,Werdum,null,,,,
Luanel Messi,http://twitter.com/search?q=%22Luanel+Messi%22,null,%22Luanel+Messi%22,null,,,,
ビターキャラメルコーン,http://twitter.com/search?q=%E3%83%93%E3%82%BF%E3%83%BC%E3%82%AD%E3%83%A3%E3%83%A9%E3%83%A1%E3%83%AB%E3%82%B3%E3%83%BC%E3%83%B3,null,%E3%83%93%E3%82%BF%E3%83%BC%E3%82%AD%E3%83%A3%E3%83%A9%E3%83%A1%E3%83%AB%E3%82%B3%E3%83%BC%E3%83%B3,null,,,,
NCTハリウッド,http://twitter.com/search?q=NCT%E3%83%8F%E3%83%AA%E3%82%A6%E3%83%83%E3%83%89,null,NCT%E3%83%8F%E3%83%AA%E3%82%A6%E3%83%83%E3%83%89,null,,,,
pitton,http://twitter.com/search?q=pitton,null,pitton,null,,,,
Carol Biazin,http://twitter.com/search?q=%22Carol+Biazin%22,null,%22Carol+Biazin%22,null,,,,
할리우드,http://twitter.com/search?q=%ED%95%A0%EB%A6%AC%EC%9A%B0%EB%93%9C,null,%ED%95%A0%EB%A6%AC%EC%9A%B0%EB%93%9C,71505,,,,
Ortega,http://twitter.com/search?q=Ortega,null,Ortega,18047,,,,
Pabllo,http://twitter.com/search?q=Pabllo,null,Pabllo,32649,,,,
Luka,http://twitter.com/search?q=Luka,null,Luka,33600,,,,
Mavs,http://twitter.com/search?q=Mavs,null,Mavs,null,,,,
タイタニック,http://twitter.com/search?q=%E3%82%BF%E3%82%A4%E3%82%BF%E3%83%8B%E3%83%83%E3%82%AF,null,%E3%82%BF%E3%82%A4%E3%82%BF%E3%83%8B%E3%83%83%E3%82%AF,15075,,,,
おぜちゃん,http://twitter.com/search?q=%E3%81%8A%E3%81%9C%E3%81%A1%E3%82%83%E3%82%93,null,%E3%81%8A%E3%81%9C%E3%81%A1%E3%82%83%E3%82%93,null,,,,
Caio Paulista,http://twitter.com/search?q=%22Caio+Paulista%22,null,%22Caio+Paulista%22,null,,,,
Pará,http://twitter.com/search?q=Par%C3%A1,null,Par%C3%A1,2477444,,,,
Anthony Davis,http://twitter.com/search?q=%22Anthony+Davis%22,null,%22Anthony+Davis%22,null,,,,
Rondo,http://twitter.com/search?q=Rondo,null,Rondo,null,,,,
O Santos,http://twitter.com/search?q=%22O+Santos%22,null,%22O+Santos%22,31309,,,,
Cauê,http://twitter.com/search?q=Cau%C3%AA,null,Cau%C3%AA,null,,,,
Jacarezinho,http://twitter.com/search?q=Jacarezinho,null,Jacarezinho,171467,,,,
チップ機能,http://twitter.com/search?q=%E3%83%81%E3%83%83%E3%83%97%E6%A9%9F%E8%83%BD,null,%E3%83%81%E3%83%83%E3%83%97%E6%A9%9F%E8%83%BD,null,,,,
転売ヤー,http://twitter.com/search?q=%E8%BB%A2%E5%A3%B2%E3%83%A4%E3%83%BC,null,%E8%BB%A2%E5%A3%B2%E3%83%A4%E3%83%BC,null,,,,
Arsenal,http://twitter.com/search?q=Arsenal,null,Arsenal,462526,,,,
Mayweather,http://twitter.com/search?q=Mayweather,null,Mayweather,66021,,,,
イーブイヒーローズ,http://twitter.com/search?q=%E3%82%A4%E3%83%BC%E3%83%96%E3%82%A4%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%BA,null,%E3%82%A4%E3%83%BC%E3%83%96%E3%82%A4%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%BA,11816,,,,
NCT 127 DESERVE BETTER,http://twitter.com/search?q=%22NCT+127+DESERVE+BETTER%22,null,%22NCT+127+DESERVE+BETTER%22,41935,,,,
#GreysAnatomy,http://twitter.com/search?q=%23GreysAnatomy,null,%23GreysAnatomy,86571,2021-05-07T04:52:25Z,2021-05-06T00:11:06Z,Worldwide,1
投げ銭機能,http://twitter.com/search?q=%E6%8A%95%E3%81%92%E9%8A%AD%E6%A9%9F%E8%83%BD,null,%E6%8A%95%E3%81%92%E9%8A%AD%E6%A9%9F%E8%83%BD,53962,,,,
#TY4B,http://twitter.com/search?q=%23TY4B,null,%23TY4B,null,,,,
#なんと15種のお菓子が当たる,http://twitter.com/search?q=%23%E3%81%AA%E3%82%93%E3%81%A815%E7%A8%AE%E3%81%AE%E3%81%8A%E8%8F%93%E5%AD%90%E3%81%8C%E5%BD%93%E3%81%9F%E3%82%8B,null,%23%E3%81%AA%E3%82%93%E3%81%A815%E7%A8%AE%E3%81%AE%E3%81%8A%E8%8F%93%E5%AD%90%E3%81%8C%E5%BD%93%E3%81%9F%E3%82%8B,null,,,,
J Cole,http://twitter.com/search?q=%22J+Cole%22,null,%22J+Cole%22,46708,,,,
#ChiefMinisterMKStalin,http://twitter.com/search?q=%23ChiefMinisterMKStalin,null,%23ChiefMinisterMKStalin,30456,,,,
Clippers,http://twitter.com/search?q=Clippers,null,Clippers,18350,,,,
Girón,http://twitter.com/search?q=Gir%C3%B3n,null,Gir%C3%B3n,12477,,,,
#今年は自動車税なかったら何する,http://twitter.com/search?q=%23%E4%BB%8A%E5%B9%B4%E3%81%AF%E8%87%AA%E5%8B%95%E8%BB%8A%E7%A8%8E%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F%E3%82%89%E4%BD%95%E3%81%99%E3%82%8B,null,%23%E4%BB%8A%E5%B9%B4%E3%81%AF%E8%87%AA%E5%8B%95%E8%BB%8A%E7%A8%8E%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F%E3%82%89%E4%BD%95%E3%81%99%E3%82%8B,null,,,,
gabi rippi,http://twitter.com/search?q=%22gabi+rippi%22,null,%22gabi+rippi%22,null,,,,
Karina,http://twitter.com/search?q=Karina,null,Karina,152104,,,,
